account_id,timestamp,transaction_type,amount_hbar,category,counterparty,memo
0.0.12345,2024-10-01 10:00:00,CRYPTOTRANSFER,100.5,payment,0.0.67890,Monthly subscription
0.0.12345,2024-10-02 14:30:00,CRYPTOTRANSFER,50.25,refund,0.0.11111,Service refund
0.0.12345,2024-10-03 09:15:00,TOKENMINT,0.001,nft,0.0.12345,Dataset NFT #001
0.0.12345,2024-10-04 16:45:00,CRYPTOTRANSFER,200.0,payment,0.0.22222,API subscription
0.0.12345,2024-10-05 11:20:00,CRYPTOTRANSFER,75.5,payment,0.0.33333,Data access fee
0.0.12345,2024-10-06 13:00:00,TOKENMINT,0.001,nft,0.0.12345,Analytics Report #42
0.0.12345,2024-10-07 15:30:00,CRYPTOTRANSFER,150.0,payment,0.0.44444,Enterprise license
0.0.12345,2024-10-08 10:45:00,CRYPTOTRANSFER,25.0,refund,0.0.55555,Partial refund
0.0.12345,2024-10-09 12:15:00,TOKENMINT,0.001,nft,0.0.12345,Dataset NFT #002
0.0.12345,2024-10-10 14:00:00,CRYPTOTRANSFER,300.0,payment,0.0.66666,Annual subscription
